,Test_data,Method_name,Method_name_simple,BlockSize,SPview,Time_view,Time,Maxmemory,Q_raw,TC_raw,Time_raw,Memory_raw
199,Complete156,FAME-7,FAME,7,-403.327957,4.51,4.51,101484,,,,
309,mpox,FAME-17,FAME,17,-206051.9234,36.8,36.8,1812692,,,,
434,mt1x,FAME-2000,FAME,2000,-212.0908204,9.01,9.01,122092,,,,
561,mt20x,FAME-2000,FAME,2000,-211.9257239,35.36,35.36,2160368,,,,
1380,Variola_,FAME-7,FAME,7,-2913.333333,8.57,8.57,38612,,,,
76,23sr,FMAlign2-1000,FMAlign2,1000,-2366.957006,12.76,12.76,182828,,,,
202,Complete156,FMAlign2-1000,FMAlign2,1000,-261.6266336,1.24,1.24,108352,,,,
224,ecoli_,FMAlign2-100,FMAlign2,100,-2894826.667,727.43,727.43,13079416,,,,
275,Mix1t,FMAlign2-2000,FMAlign2,2000,-46860.75286,1654.81,1654.81,2345544,,,,
310,mpox,FMAlign2-10,FMAlign2,10,-150564.9447,510629,510629,9741088,,,,
438,mt1x,FMAlign2-20,FMAlign2,20,-150.7190804,5.92,5.92,321864,,,,
569,mt20x,FMAlign2-500,FMAlign2,500,-152.318686,1202.08,1202.08,5007480,,,,
611,Mycoplasma_,FMAlign2-500,FMAlign2,500,-7127.833333,2.35,2.35,61688,,,,
630,Neisseria_meningitidis_,FMAlign2-2000,FMAlign2,2000,-2980447,166637,166637,2832916,,,,
1338,Streptococcus_,FMAlign2-2000,FMAlign2,2000,-889430.6667,2748.43,2748.43,222672,,,,
1381,Variola_,FMAlign2-100,FMAlign2,100,-2700.333333,3.38,3.38,21096,,,,
58,23sr,wmsa-20,deMEM-WMSA-L,20,-1742.628422,10.02,10.02,413136,,,,
178,Complete156,wmsa-20000,deMEM-WMSA-L,20000,-244.5327543,31.66,31.66,361156,,,,
220,ecoli_,wmsa-2000,deMEM-WMSA-L,2000,-1558240.167,86174,86174,520935276,,,,
258,Mix1t,wmsa-100,deMEM-WMSA-L,100,-13036.71133,78.97,78.97,4789332,,,,
303,mpox,wmsa-12000,deMEM-WMSA-L,12000,-102311.039,41257,41257,101620216,,,,
423,mt1x,wmsa-5000,deMEM-WMSA-L,5000,-149.4929388,432.09,432.09,1094548,,,,
546,mt20x,wmsa-50,deMEM-WMSA-L,50,-149.5452694,1133.76,1133.76,51580124,,,,
604,Mycoplasma_,wmsa-5000,deMEM-WMSA-L,5000,-7342.666667,3015.86,3015.86,326696,,,,
1327,Streptococcus_,wmsa-1000,deMEM-WMSA-L,1000,-901459,79250,79250,154364848,,,,
1373,Variola_,wmsa-20000,deMEM-WMSA-L,20000,-2164,20.32,20.32,80844,,,,
61,23sr,wmsa_highsim-2000,deMEM-WMSA-H,2000,-2408.501229,2.58,2.58,182564,,,,
166,Complete156,wmsa_highsim-12000,deMEM-WMSA-H,12000,-244.843507,8.73,8.73,50200,,,,
221,ecoli_,wmsa_highsim-500,deMEM-WMSA-H,500,-16744611.83,2832.7,2832.7,160516292,,,,
257,Mix1t,wmsa_highsim-100,deMEM-WMSA-H,100,-13036.71133,75.44,75.44,4402108,,,,
301,mpox,wmsa_highsim-10000,deMEM-WMSA-H,10000,-436952.5099,1642.15,1642.15,4546940,,,,
422,mt1x,wmsa_highsim-5000,deMEM-WMSA-H,5000,-149.0779753,27.58,27.58,57572,,,,
549,mt20x,wmsa_highsim-5000,deMEM-WMSA-H,5000,-149.0189317,581.16,581.16,1090820,,,,
603,Mycoplasma_,wmsa_highsim-5000,deMEM-WMSA-H,5000,-7583.5,26.96,26.96,98772,,,,
625,Neisseria_meningitidis_,wmsa_highsim-2000,deMEM-WMSA-H,2000,-6102398,6624,6624,215329456,,,,
1328,Streptococcus_,wmsa_highsim-10000,deMEM-WMSA-H,10000,-1364741.167,15354,15354,130848340,,,,
1374,Variola_,wmsa_highsim-500,deMEM-WMSA-H,500,-2712.833333,7.5,7.5,7580,,,,
38,23sr,fftns1-2000,deMEM-FFTNS1-L,2000,-2366.957006,10.52,10.52,538832,,,,
141,Complete156,fftns1-20000,deMEM-FFTNS1-L,20000,-273.8438379,32.93,32.93,334752,,,,
212,ecoli_,fftns1-2000,deMEM-FFTNS1-L,2000,-1663530.833,4757,4757,1522828,,,,
245,Mix1t,fftns1-100,deMEM-FFTNS1-L,100,-18886.80922,11462,11462,70026524,,,,
