Test_data,Method_name,Method_name_simple,BlockSize,Sub_BlockSize,SAMEMAlign_Version,Vaild_tests,Q_view,TC_view,SPview,Time_view,Q,TC,SP,Time,Maxmemory,Q_raw,TC_raw,Time_raw,Memory_raw
23sr,abpoa-10,abpoa,10,100,0.10.0.0,1,,,-4382.573946957878,12.51,,,-4382.573946957878,12.51,347172,,,,
23sr,abpoa-100,abpoa,100,100,0.10.0.0,1,,,-5916.154031786272,26.4,,,-5916.154031786272,26.4,432096,,,,
23sr,abpoa_highsim-1000,abpoa_highsim,1000,100,0.10.0.0,1,,,-3752.910184282371,3.63,,,-3752.910184282371,3.63,45828,,,,
23sr,abpoa-1000,abpoa,1000,100,0.10.0.0,1,,,-5743.173552067083,113.3,,,-5743.173552067083,113.3,473780,,,,
23sr,abpoa_highsim-1200,abpoa_highsim,1200,100,0.10.0.0,1,,,-3377.4907225039,2.94,,,-3377.4907225039,2.94,45068,,,,
23sr,abpoa-1200,abpoa,1200,100,0.10.0.0,1,,,-4348.545314937597,61.93,,,-4348.545314937597,61.93,403956,,,,
23sr,abpoa_highsim-1500,abpoa_highsim,1500,100,0.10.0.0,1,,,-3528.8841409906395,3.02,,,-3528.8841409906395,3.02,63936,,,,
23sr,abpoa-1500,abpoa,1500,100,0.10.0.0,1,,,-7364.644807917317,66.44,,,-7364.644807917317,66.44,603112,,,,
23sr,abpoa_highsim-20,abpoa_highsim,20,100,0.10.0.0,1,,,-17411.76875975039,5.03,,,-17411.76875975039,5.03,135368,,,,
23sr,abpoa_highsim-200,abpoa_highsim,200,100,0.10.0.0,1,,,-18218.186500585023,3.64,,,-18218.186500585023,3.64,65876,,,,
23sr,abpoa-200,abpoa,200,100,0.10.0.0,1,,,-8189.175399765991,49.87,,,-8189.175399765991,49.87,789056,,,,
23sr,abpoa_highsim-2000,abpoa_highsim,2000,100,0.10.0.0,1,,,-4448.129728939158,7.34,,,-4448.129728939158,7.34,262624,,,,
23sr,abpoa-2000,abpoa,2000,100,0.10.0.0,1,,,-4448.129728939158,5.66,,,-4448.129728939158,5.66,262628,,,,
23sr,abpoa_highsim-300,abpoa_highsim,300,100,0.10.0.0,1,,,-7548.944476404056,2.31,,,-7548.944476404056,2.31,53804,,,,
23sr,abpoa-300,abpoa,300,100,0.10.0.0,1,,,-7525.651506435257,176.52,,,-7525.651506435257,176.52,1213336,,,,
23sr,abpoa_highsim-400,abpoa_highsim,400,100,0.10.0.0,1,,,-8764.825531396256,2.45,,,-8764.825531396256,2.45,49748,,,,
23sr,abpoa-400,abpoa,400,100,0.10.0.0,1,,,-21193.349029836194,823.96,,,-21193.349029836194,823.96,4093972,,,,
23sr,abpoa_highsim-50,abpoa_highsim,50,100,0.10.0.0,1,,,-7785.305440717629,2.74,,,-7785.305440717629,2.74,82096,,,,
23sr,abpoa-50,abpoa,50,100,0.10.0.0,1,,,-6124.494339898596,20.22,,,-6124.494339898596,20.22,500992,,,,
23sr,abpoa_highsim-500,abpoa_highsim,500,100,0.10.0.0,1,,,-4700.767877340094,2.33,,,-4700.767877340094,2.33,46176,,,,
23sr,abpoa-500,abpoa,500,100,0.10.0.0,1,,,-6565.8358424336975,154.64,,,-6565.8358424336975,154.64,656328,,,,
23sr,abpoa_highsim-600,abpoa_highsim,600,100,0.10.0.0,1,,,-3989.3430187207487,2.27,,,-3989.3430187207487,2.27,41644,,,,
23sr,abpoa-600,abpoa,600,100,0.10.0.0,1,,,-8153.099141965678,160.93,,,-8153.099141965678,160.93,675120,,,,
23sr,abpoa_highsim-800,abpoa_highsim,800,100,0.10.0.0,1,,,-3425.5963631045242,2.56,,,-3425.5963631045242,2.56,41032,,,,
23sr,abpoa-800,abpoa,800,100,0.10.0.0,1,,,-7747.625784906396,133.35,,,-7747.625784906396,133.35,881692,,,,
23sr,fftns1-10,fftns1,10,100,0.10.0.0,1,,,-2657.9396109594386,84.62,,,-2657.9396109594386,84.62,381900,,,,
23sr,fftns1-100,fftns1,100,100,0.10.0.0,1,,,-2828.6709974648984,348.57,,,-2828.6709974648984,348.57,354572,,,,
23sr,fftns1_highsim-1000,fftns1_highsim,1000,100,0.10.0.0,1,,,-3113.2102281591265,10.84,,,-3113.2102281591265,10.84,171876,,,,
23sr,fftns1-1000,fftns1,1000,100,0.10.0.0,1,,,-2561.540015600624,89.4,,,-2561.540015600624,89.4,341668,,,,
23sr,fftns1_highsim-1200,fftns1_highsim,1200,100,0.10.0.0,1,,,-2561.4883629095166,7.33,,,-2561.4883629095166,7.33,181520,,,,
23sr,fftns1-1200,fftns1,1200,100,0.10.0.0,1,,,-2471.449341848674,70.36,,,-2471.449341848674,70.36,490824,,,,
23sr,fftns1_highsim-1500,fftns1_highsim,1500,100,0.10.0.0,1,,,-2674.2384019110764,8.01,,,-2674.2384019110764,8.01,198404,,,,
23sr,fftns1-1500,fftns1,1500,100,0.10.0.0,1,,,-2655.2977671606864,63.95,,,-2655.2977671606864,63.95,422916,,,,
23sr,fftns1_highsim-20,fftns1_highsim,20,100,0.10.0.0,1,,,-14939.049985374415,149.86,,,-14939.049985374415,149.86,116820,,,,
23sr,fftns1-20,fftns1,20,100,0.10.0.0,1,,,-2512.0597308892357,65.45,,,-2512.0597308892357,65.45,365520,,,,
23sr,fftns1_highsim-200,fftns1_highsim,200,100,0.10.0.0,1,,,-12800.67489274571,19.87,,,-12800.67489274571,19.87,110872,,,,
23sr,fftns1-200,fftns1,200,100,0.10.0.0,1,,,-2770.928666146646,229.78,,,-2770.928666146646,229.78,290140,,,,
23sr,fftns1_highsim-2000,fftns1_highsim,2000,100,0.10.0.0,1,,,-2366.957005655226,11.09,,,-2366.957005655226,11.09,566344,,,,
23sr,fftns1-2000,fftns1,2000,100,0.10.0.0,1,,,-2366.957005655226,10.52,,,-2366.957005655226,10.52,538832,,,,
23sr,fftns1_highsim-300,fftns1_highsim,300,100,0.10.0.0,1,,,-5917.250711778471,16.77,,,-5917.250711778471,16.77,107332,,,,
23sr,fftns1-300,fftns1,300,100,0.10.0.0,1,,,-2738.150614274571,209.07,,,-2738.150614274571,209.07,259136,,,,
23sr,fftns1_highsim-400,fftns1_highsim,400,100,0.10.0.0,1,,,-7028.726282176287,18.85,,,-7028.726282176287,18.85,239156,,,,
23sr,fftns1_highsim-50,fftns1_highsim,50,100,0.10.0.0,1,,,-6200.297586778471,42.22,,,-6200.297586778471,42.22,56888,,,,
23sr,fftns1-50,fftns1,50,100,0.10.0.0,1,,,-2500.403885530421,93.3,,,-2500.403885530421,93.3,348808,,,,
23sr,fftns1_highsim-500,fftns1_highsim,500,100,0.10.0.0,1,,,-3176.9247026131047,10.44,,,-3176.9247026131047,10.44,94296,,,,
23sr,fftns1-500,fftns1,500,100,0.10.0.0,1,,,-2604.4933014820595,142.8,,,-2604.4933014820595,142.8,356784,,,,
23sr,fftns1_highsim-600,fftns1_highsim,600,100,0.10.0.0,1,,,-3193.9488689547584,8.08,,,-3193.9488689547584,8.08,97272,,,,
23sr,fftns1-600,fftns1,600,100,0.10.0.0,1,,,-2581.994578783151,135.37,,,-2581.994578783151,135.37,359468,,,,
23sr,fftns1_highsim-800,fftns1_highsim,800,100,0.10.0.0,1,,,-3081.608151326053,8.85,,,-3081.608151326053,8.85,161004,,,,
23sr,fftns1-800,fftns1,800,100,0.10.0.0,1,,,-2619.9049531981277,108.75,,,-2619.9049531981277,108.75,313152,,,,
23sr,wmsa-100,wmsa,100,100,0.10.0.0,1,,,-1806.8829319422778,24.2,,,-1806.8829319422778,24.2,362660,,,,
23sr,wmsa_highsim-1000,wmsa_highsim,1000,100,0.10.0.0,1,,,-2690.0566838923555,4.16,,,-2690.0566838923555,4.16,82752,,,,
23sr,wmsa-1000,wmsa,1000,100,0.10.0.0,1,,,-2056.8033882605305,42.26,,,-2056.8033882605305,42.26,386568,,,,
23sr,wmsa_highsim-1200,wmsa_highsim,1200,100,0.10.0.0,1,,,-3502.360223283931,3.94,,,-3502.360223283931,3.94,112348,,,,
23sr,wmsa-1200,wmsa,1200,100,0.10.0.0,1,,,-2076.458521840874,28.45,,,-2076.458521840874,28.45,313460,,,,
23sr,wmsa_highsim-1500,wmsa_highsim,1500,100,0.10.0.0,1,,,-3594.0770817082685,4.16,,,-3594.0770817082685,4.16,111256,,,,
23sr,wmsa-1500,wmsa,1500,100,0.10.0.0,1,,,-2382.708882605304,15.81,,,-2382.708882605304,15.81,300424,,,,
23sr,wmsa_highsim-20,wmsa_highsim,20,100,0.10.0.0,1,,,-15362.128339508581,7.79,,,-15362.128339508581,7.79,137328,,,,
23sr,wmsa-20,wmsa,20,100,0.10.0.0,1,,,-1742.6284223868954,10.02,,,-1742.6284223868954,10.02,413136,,,,
23sr,wmsa_highsim-200,wmsa_highsim,200,100,0.10.0.0,1,,,-12676.438192277692,5.25,,,-12676.438192277692,5.25,82172,,,,
23sr,wmsa-200,wmsa,200,100,0.10.0.0,1,,,-2238.473147425897,29.85,,,-2238.473147425897,29.85,332456,,,,
23sr,wmsa_highsim-2000,wmsa_highsim,2000,100,0.10.0.0,1,,,-2408.501228549142,2.58,,,-2408.501228549142,2.58,182564,,,,
23sr,wmsa-2000,wmsa,2000,100,0.10.0.0,1,,,-2408.501228549142,2.87,,,-2408.501228549142,2.87,176252,,,,
23sr,wmsa_highsim-300,wmsa_highsim,300,100,0.10.0.0,1,,,-6412.7596236349455,4.63,,,-6412.7596236349455,4.63,58356,,,,
23sr,wmsa-300,wmsa,300,100,0.10.0.0,1,,,-1766.8496636115444,32.54,,,-1766.8496636115444,32.54,253344,,,,
23sr,wmsa_highsim-400,wmsa_highsim,400,100,0.10.0.0,1,,,-7158.339562207489,3.29,,,-7158.339562207489,3.29,51360,,,,
23sr,wmsa_highsim-50,wmsa_highsim,50,100,0.10.0.0,1,,,-6514.532532176287,3.55,,,-6514.532532176287,3.55,93912,,,,
23sr,wmsa-50,wmsa,50,100,0.10.0.0,1,,,-2270.8660247659905,13.51,,,-2270.8660247659905,13.51,363804,,,,
23sr,wmsa_highsim-500,wmsa_highsim,500,100,0.10.0.0,1,,,-3749.0309379875193,3.46,,,-3749.0309379875193,3.46,73432,,,,
23sr,wmsa-500,wmsa,500,100,0.10.0.0,1,,,-2382.3695592823715,55.59,,,-2382.3695592823715,55.59,339376,,,,
23sr,wmsa_highsim-600,wmsa_highsim,600,100,0.10.0.0,1,,,-3410.8454270670827,2.9699999999999998,,,-3410.8454270670827,2.9699999999999998,53996,,,,
23sr,wmsa-600,wmsa,600,100,0.10.0.0,1,,,-2400.336914976599,46.31,,,-2400.336914976599,46.31,371308,,,,
23sr,wmsa_highsim-800,wmsa_highsim,800,100,0.10.0.0,1,,,-2771.876974453978,3.43,,,-2771.876974453978,3.43,69828,,,,
23sr,wmsa-800,wmsa,800,100,0.10.0.0,1,,,-2289.5845407566303,32.34,,,-2289.5845407566303,32.34,314764,,,,
23sr,FMAlign2-10,FMAlign2,10,,,1,,,-10673.70000975039,6.6,,,-10673.70000975039,6.6,77192,,,,
23sr,FMAlign2-100,FMAlign2,100,,,1,,,-5392.585974063963,4.02,,,-5392.585974063963,4.02,48488,,,,
23sr,FMAlign2-1000,FMAlign2,1000,,,1,,,-2366.957005655226,12.76,,,-2366.957005655226,12.76,182828,,,,
23sr,FMAlign2-20,FMAlign2,20,,,1,,,-9367.094393525742,11.05,,,-9367.094393525742,11.05,150096,,,,
23sr,FMAlign2-200,FMAlign2,200,,,1,,,-4759.244349648986,13.28,,,-4759.244349648986,13.28,245168,,,,
23sr,FMAlign2-2000,FMAlign2,2000,,,1,,,-2366.957005655226,12.9,,,-2366.957005655226,12.9,186760,,,,
23sr,FMAlign2-300,FMAlign2,300,,,1,,,-2366.957005655226,12.3,,,-2366.957005655226,12.3,187404,,,,
23sr,FMAlign2-400,FMAlign2,400,,,1,,,-2366.957005655226,12.81,,,-2366.957005655226,12.81,208792,,,,
23sr,FMAlign2-50,FMAlign2,50,,,1,,,-7357.80648400936,3.76,,,-7357.80648400936,3.76,62452,,,,
23sr,FMAlign2-500,FMAlign2,500,,,1,,,-2366.957005655226,12.75,,,-2366.957005655226,12.75,209160,,,,
23sr,FMAlign2-800,FMAlign2,800,,,1,,,-2366.957005655226,13.57,,,-2366.957005655226,13.57,183100,,,,
23sr,FAME-7,FAME,7,,,0,,,,0.57,,,,0.57,28032,,,,
Complete156,abpoa_highsim-100,abpoa_highsim,100,100,0.10.0.0,1,,,-1227.0333333333333,3.23,,,-1227.0333333333333,3.23,63724,,,,
Complete156,abpoa-100,abpoa,100,100,0.10.0.0,1,,,-870.008105872622,6.12,,,-870.008105872622,6.12,235604,,,,
Complete156,abpoa_highsim-1000,abpoa_highsim,1000,100,0.10.0.0,1,,,-365.35657568238213,3.7199999999999998,,,-365.35657568238213,3.7199999999999998,78392,,,,
Complete156,abpoa-1000,abpoa,1000,100,0.10.0.0,1,,,-636.9584780810587,77.24,,,-636.9584780810587,77.24,15423996,,,,
Complete156,abpoa_highsim-10000,abpoa_highsim,10000,100,0.10.0.0,1,,,-356.9482216708023,9.12,,,-356.9482216708023,9.12,1073532,,,,
Complete156,abpoa-10000,abpoa,10000,100,0.10.0.0,1,,,-365.62448304383787,226.77,,,-365.62448304383787,226.77,15573296,,,,
Complete156,abpoa_highsim-12000,abpoa_highsim,12000,100,0.10.0.0,1,,,-390.9123242349049,7.1,,,-390.9123242349049,7.1,1499680,,,,
